date,open,high,low,close,volume
2015-10-06,43.12,44.34,42.95,43.15,790975
2015-10-07,43.8,45.35,42.73,45.0,1792733
2015-10-08,44.72,44.825,43.27,43.91,688686
2015-10-09,43.8,44.11,43.46,43.98,441037
2015-10-12,44.24,44.482,43.4501,43.97,459842
2015-10-13,43.93,44.305,43.55,43.84,373205
2015-10-14,44.03,44.14,43.05,43.31,383102
2015-10-15,43.66,44.49,42.73,43.62,964813
2015-10-16,44.38,47.65,44.28,45.96,2597385
2015-10-19,45.57,46.2,45.35,45.88,656803
2015-10-20,45.64,46.98,45.46,46.11,514581
2015-10-21,46.19,46.43,44.67,45.58,619190
2015-10-22,45.97,46.84,45.61,46.58,509964
2015-10-23,47.6,48.83,47.1,47.15,885316
2015-10-26,47.04,47.76,46.76,46.99,399408
2015-10-27,46.99,47.426,46.28,46.83,289772
2015-10-28,46.8,48.43,46.16,48.35,786041
2015-10-29,47.85,48.03,46.3,46.42,609497
2015-10-30,46.61,48.08,46.42,47.64,580589
2015-11-02,47.8,48.3784,47.25,47.98,611477
2015-11-03,49.37,52.14,49.3,50.48,1953191
2015-11-04,50.5,52.0,49.58,50.63,1253155
2015-11-05,51.0,52.55,50.8,51.24,1280236
2015-11-06,51.0,52.498,50.956,51.59,696715
2015-11-09,51.66,52.24,50.7,51.25,1050215
2015-11-10,50.69,50.9899,48.185,48.56,960708
2015-11-11,48.9,48.9,47.56,48.02,604601
2015-11-12,48.0,49.05,47.52,48.13,459796
2015-11-13,48.07,48.21,44.58,45.0,1645425
2015-11-16,44.45,47.06,44.28,46.71,934147
2015-11-17,46.71,48.67,46.26,48.2,1242979
2015-11-18,48.9,50.56,48.23,50.36,1306751
2015-11-19,50.4,52.66,49.63,51.71,1965360
2015-11-20,50.67,52.47,50.51,51.54,930848
2015-11-23,51.14,51.52,49.59,49.75,1066463
2015-11-24,49.38,50.45,49.3101,50.37,533780
2015-11-25,50.01,51.12,50.01,51.01,462384
2015-11-27,50.2,50.69,49.0,49.55,542043
2015-11-30,48.01,50.57,48.0,50.57,1071023
2015-12-01,50.8,52.09,50.28,51.8,860863
2015-12-02,51.88,52.14,50.66,51.49,1033163
2015-12-03,51.45,51.99,49.11,49.68,1144929
2015-12-04,49.65,51.64,49.02,51.28,1035654
2015-12-07,51.14,52.21,50.48,51.23,1059257
2015-12-08,50.37,51.2,49.33,50.78,626590
2015-12-09,50.77,50.9,49.53,49.97,1051368
2015-12-10,49.78,49.91,46.76,47.77,2959261
